capability_name,alias
EDI Expansion,edi
EDI Expansion,electronic data interchange
EDI Expansion,edi rollout
Footprint Assessment,footprint analysis
Footprint Assessment,site consolidation
Footprint Assessment,facility footprint
Data Analysis,data analytics
Data Analysis,analytics
Data Analysis,data insights
Control Tower,supply chain control tower
Control Tower,digital control tower
Control Tower,operations control tower
Vendor Management,supplier management
Vendor Management,vendor oversight
Vendor Management,supplier relations
Real Estate Consolidation,property consolidation
Real Estate Consolidation,real estate rationalization
Real Estate Consolidation,location optimization
Target Operating Model,tom
Target Operating Model,operating model design
Target Operating Model,future state model
Process Mining,process discovery
Process Mining,process analysis
Process Mining,process intelligence
Data Science,advanced analytics
Data Science,predictive modeling
Data Science,ml
Data Science,machine learning
Inventory Management,inventory optimization
Inventory Management,stock management
Inventory Management,inventory control
Supply Chain Optimization/Procurement,supply chain optimization
Supply Chain Optimization/Procurement,procurement optimization
Supply Chain Optimization/Procurement,sourcing optimization
Spans & Layers,spans and layers
Spans & Layers,org design
Spans & Layers,organizational layers
Spans & Layers,organization structure analysis
